year,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term_in_months,property_value,income,Credit_Score,Status
2019,226500,3.125,0.4277,0,360,228000,3600,686,0
2019,226500,3.125,-0.0721,0,180,618000,3600,627,0
2019,356500,3.125,0.6008,0,360,368000,3720,522,0
2019,346500,3.125,-0.3914,0,360,488000,3720,770,0
2019,306500,3.125,0.2228,0,360,358000,3840,589,0
2019,436500,3.125,-0.6729,0,360,1778000,3840,872,0
2019,286500,3.125,0.1816,0,360,388000,3960,852,0
2019,336500,3.125,0.0476,0,360,388000,3960,697,0
2019,276500,3.125,-0.3013,0,360,838000,3960,765,0
2019,236500,3.125,-0.4089,0,360,278000,3960,836,0
2019,246500,3.125,0.0192,0,360,548000,4020,558,0
2019,296500,3.125,0.3334,0,360,308000,4080,855,0
2019,446500,3.125,-0.3155,0,360,508000,4080,781,0
2019,476500,3.125,-0.3779,0,360,608000,4140,536,0
2019,226500,3.125,-0.0776,0,180,508000,4200,879,0
2019,286500,3.125,-0.0815,0,180,628000,4200,598,0
2019,266500,3.125,0.1617,0,360,338000,4380,889,0
2019,276500,3.125,0.1747,0,360,368000,4500,753,0
2019,296500,3.125,-0.0975,0,180,908000,4500,555,0
2019,416500,3.125,-0.3854,0,360,708000,4500,547,0
2019,446500,3.125,-0.4247,0,360,438000,4500,868,0
2019,336500,3.125,0.0828,0,360,398000,4620,506,0
2019,266500,3.125,0.0116,0,180,888000,4680,884,0
2019,276500,3.125,0.4144,0,360,288000,4860,724,0
2019,306500,3.125,0.2062,0,360,358000,4860,830,0
2019,386500,3.125,-0.2555,0,360,378000,4860,505,0
2019,276500,3.125,0.1325,0,360,328000,4920,884,0
2019,276500,3.125,0.0873,0,180,468000,4920,646,0
2019,226500,3.125,-0.4607,0,132,858000,4920,881,0
2019,416500,3.125,0.5301,0,360,428000,4980,872,0
2019,246500,3.125,-0.67,0,360,428000,4980,880,0
2019,456500,3.125,0.0424,0,360,528000,5100,816,0
2019,306500,3.125,-0.0684,0,180,748000,5100,716,0
2019,356500,3.125,-0.0779,0,180,818000,5100,818,0
2019,436500,3.125,0.118,0,360,498000,5160,761,0
2019,366500,3.125,0.4144,0,360,378000,5280,670,0
2019,406500,3.125,0.3281,0,360,418000,5280,806,0
2019,466500,3.125,0.0646,0,360,588000,5280,591,0
2019,396500,3.125,-0.0805,0,180,758000,5280,714,0
2019,276500,3.125,-0.1067,0,180,728000,5280,520,0
2019,246500,3.125,0.2138,0,360,288000,5340,786,0
2019,376500,3.125,0.4142,0,360,388000,5400,812,0
2019,316500,3.125,-0.0941,0,180,638000,5400,833,0
2019,366500,3.125,0.4636,0,360,378000,5460,516,0
2019,216500,3.125,0.2022,0,360,268000,5520,557,0
2019,406500,3.125,-0.5474,0,360,648000,5520,826,0
2019,426500,3.125,0.3714,0,360,438000,5640,611,0
2019,396500,3.125,-0.1442,0,180,808000,5640,515,0
2019,526500,3.125,-0.5456,0,360,628000,5640,611,0
2019,426500,3.125,0.5102,0,360,438000,5700,609,0
2019,276500,3.125,-0.1217,0,180,558000,5760,899,0
2019,486500,3.125,0.0261,0,360,608000,5880,524,0
2019,276500,3.125,-0.1383,0,180,478000,5880,574,0
2019,326500,3.125,-0.0778,0,180,428000,6120,511,0
2019,426500,3.125,-0.082,0,180,808000,6120,736,0
2019,416500,3.125,-0.5813,0,360,478000,6180,570,0
2019,236500,3.125,-0.0604,0,180,608000,6240,870,0
2019,366500,3.125,-0.2861,0,360,808000,6240,571,0
2019,286500,3.125,0.4955,0,360,298000,6300,810,0
2019,446500,3.125,-0.093,0,180,638000,6300,740,0
2019,486500,3.125,0.2639,0,360,588000,6420,635,0
2019,306500,3.125,-0.0694,0,180,588000,6420,562,0
2019,496500,3.125,0.2056,0,360,588000,6600,591,0
2019,366500,3.125,0.4902,0,360,368000,6720,649,0
2019,326500,3.125,0.0433,0,360,368000,6720,556,0
2019,306500,3.125,-0.143,0,180,848000,6720,764,0
2019,316500,3.125,-0.123,0,180,828000,6780,822,0
2019,426500,3.125,0.5838,0,360,428000,6840,715,0
2019,486500,3.125,0.0472,0,180,858000,6900,746,0
2019,326500,3.125,-0.0554,0,180,908000,6900,761,0
2019,376500,3.125,-0.1367,0,180,808000,6900,693,0
2019,626500,3.125,-0.2205,0,360,2258000,6900,844,0
2019,406500,3.125,-0.0632,0,180,908000,6960,559,0
2019,316500,3.125,0.0433,0,180,748000,7020,887,0
2019,286500,3.125,-0.0308,0,180,378000,7020,578,0
2019,516500,3.125,-0.3104,0,360,708000,7080,713,0
2019,476500,3.125,-0.1364,0,180,2458000,7140,618,0
2019,446500,3.125,-0.1453,0,360,498000,7140,589,0
2019,576500,3.125,-0.5447,0,360,628000,7140,843,0
2019,406500,3.125,-0.0817,0,180,998000,7200,818,0
2019,456500,3.125,-0.3392,0,360,1048000,7260,725,0
2019,486500,3.125,-0.6521,0,360,568000,7260,691,0
2019,296500,3.125,-0.0624,0,180,828000,7320,854,0
2019,296500,3.125,-0.613,0,360,468000,7320,677,0
2019,476500,3.125,-0.123,0,180,998000,7380,522,0
2019,376500,3.125,-0.523,0,360,388000,7380,785,0
2019,416500,3.125,0.0474,0,360,518000,7500,729,0
2019,226500,3.125,-0.4879,0,132,548000,7500,566,0
2019,266500,3.125,-0.4936,0,120,958000,7500,674,0
2019,436500,3.125,0.0888,0,360,538000,7560,778,0
2019,376500,3.125,0.1344,0,360,468000,7680,599,0
2019,436500,3.125,0.5107,0,360,468000,7800,640,0
2019,286500,3.125,-0.079,0,180,878000,7800,581,0
2019,486500,3.125,-0.1154,0,180,608000,7860,841,0
2019,396500,3.125,-0.3733,0,360,408000,7860,557,0
2019,416500,3.125,0.543,0,360,448000,7980,645,0
2019,326500,3.125,-0.1115,0,180,608000,8040,881,0
2019,416500,3.125,-0.1191,0,180,758000,8040,695,0
2019,286500,3.125,0.1092,0,360,358000,8100,868,0
2019,476500,3.125,0.0155,0,180,888000,8100,846,0
2019,396500,3.125,-0.087,0,180,908000,8100,502,0
2019,626500,3.125,-0.403,0,360,928000,8100,605,0
2019,356500,3.125,0.0023,0,180,858000,8220,656,0
2019,386500,3.125,-0.593,0,360,538000,8220,677,0
2019,456500,3.125,-0.0196,0,180,508000,8340,730,0
2019,346500,3.125,-0.083,0,180,898000,8580,644,0
2019,466500,3.125,0.0201,0,360,668000,8640,584,0
2019,376500,3.125,-0.0523,0,180,808000,8640,557,0
2019,306500,3.125,0.0293,0,180,348000,8700,638,0
2019,396500,3.125,-0.1148,0,180,858000,8700,500,0
2019,466500,3.125,-0.66,0,360,668000,8700,882,0
2019,486500,3.125,0.0155,0,180,1378000,8820,710,0
2019,346500,3.125,-0.0623,0,180,758000,8820,663,0
2019,376500,3.125,0.1827,0,360,458000,8880,592,0
2019,426500,3.125,0.007,0,360,558000,8880,686,0
2019,366500,3.125,-0.1025,0,180,1108000,8880,629,0
2019,296500,3.125,-0.1325,0,180,608000,8880,538,0
2019,436500,3.125,-0.3155,0,360,508000,8880,716,0
2019,456500,3.125,0.1229,0,360,548000,8940,855,0
2019,476500,3.125,-0.0791,0,180,648000,8940,558,0
2019,396500,3.125,-0.0008,0,180,998000,9060,807,0
2019,486500,3.125,-0.093,0,180,928000,9060,739,0
2019,306500,3.125,-0.4881,0,360,558000,9060,765,0
2019,446500,3.125,-0.0524,0,180,938000,9240,882,0
2019,236500,3.125,-0.0725,0,180,508000,9240,897,0
2019,436500,3.125,-0.073,0,180,608000,9240,777,0
2019,336500,3.125,-0.1629,0,180,628000,9240,849,0
2019,426500,3.125,-0.093,0,180,998000,9420,610,0
2019,396500,3.125,0.1717,0,360,458000,9540,692,0
2019,316500,3.125,-0.0885,0,180,798000,9540,780,0
2019,436500,3.125,0.3437,0,360,448000,9600,513,0
2019,276500,3.125,-0.0906,0,180,958000,9600,559,0
2019,336500,3.125,-0.1029,0,180,918000,9600,843,0
2019,316500,3.125,0.0937,0,360,398000,9660,568,0
2019,456500,3.125,-0.0754,0,180,978000,9660,524,0
2019,386500,3.125,-0.2786,0,360,668000,9660,511,0
2019,476500,3.125,0.4234,0,360,488000,9720,823,0
2019,466500,3.125,-0.0639,0,180,728000,9720,625,0
2019,306500,3.125,-0.083,0,180,628000,9780,508,0
2019,376500,3.125,-0.093,0,180,808000,9780,833,0
2019,326500,3.125,-0.1096,0,180,568000,9780,600,0
2019,476500,3.125,-0.008,0,180,858000,9840,583,0
2019,406500,3.125,-0.0917,0,180,858000,9900,849,0
2019,286500,3.125,-0.0586,0,180,598000,9960,630,0
2019,266500,3.125,-0.483,0,120,638000,9960,675,0
2019,436500,3.125,-0.083,0,180,728000,10020,561,0
2019,406500,3.125,-0.1119,0,180,998000,10020,685,0
2019,416500,3.125,-0.1005,0,156,688000,10080,516,0
2019,496500,3.125,0.0566,0,360,638000,10140,595,0
2019,436500,3.125,0.0604,0,180,778000,10200,867,0
2019,316500,3.125,-0.098,0,180,928000,10200,629,0
2019,416500,3.125,-0.0641,0,180,688000,10380,847,0
2019,406500,3.125,-0.0921,0,180,778000,10380,668,0
2019,376500,3.125,-0.1429,0,180,828000,10380,634,0
2019,596500,3.125,-0.073,0,180,998000,10500,804,0
2019,486500,3.125,-0.0878,0,180,1918000,10500,578,0
2019,476500,3.125,-0.103,0,180,998000,10500,889,0
2019,306500,3.125,-0.1148,0,180,408000,10500,886,0
2019,366500,3.125,0.0462,0,180,478000,10560,881,0
2019,396500,3.125,-0.093,0,180,768000,10620,859,0
2019,576500,3.125,0.0545,0,360,748000,10680,592,0
2019,356500,3.125,-0.0792,0,180,908000,10680,633,0
2019,556500,3.125,-0.1108,0,180,798000,10740,822,0
2019,306500,3.125,-0.1126,0,180,958000,10740,785,0
2019,396500,3.125,-0.127,0,180,1038000,10800,702,0
2019,486500,3.125,-0.1273,0,180,2708000,10800,599,0
2019,476500,3.125,-0.3018,0,360,848000,10800,688,0
2019,426500,3.125,-0.11,0,180,1238000,10860,661,0
2019,286500,3.125,-0.1148,0,180,468000,10920,769,0
2019,476500,3.125,-0.0493,0,180,1728000,11100,502,0
2019,486500,3.125,-0.1465,0,180,1148000,11100,521,0
2019,336500,3.125,-0.083,0,180,808000,11160,537,0
2019,396500,3.125,-0.0541,0,180,1218000,11280,550,0
2019,456500,3.125,-0.5647,0,360,648000,11280,550,0
2019,286500,3.125,0.0258,0,180,608000,11400,669,0
2019,486500,3.125,-0.0691,0,180,1128000,11400,709,0
2019,406500,3.125,-0.1139,0,180,1008000,11460,524,0
2019,216500,3.125,-0.0551,0,180,578000,11580,620,0
2019,496500,3.125,0.1074,0,360,548000,11640,877,0
2019,346500,3.125,-0.3075,0,360,1508000,11640,751,0
2019,346500,3.125,-0.4768,0,360,388000,11700,734,0
2019,446500,3.125,-0.013,0,180,658000,11820,822,0
2019,536500,3.125,0.051,0,180,998000,11880,516,0
2019,556500,3.125,-0.3122,0,360,868000,11880,642,0
2019,436500,3.125,-0.103,0,180,908000,12060,738,0
2019,486500,3.125,-0.093,0,180,1678000,12180,705,0
2019,356500,3.125,-0.083,0,180,748000,12360,685,0
2019,486500,3.125,-0.0794,0,180,1918000,12600,626,0
2019,386500,3.125,-0.119,0,180,568000,12720,752,0
2019,426500,3.125,-0.1746,0,180,568000,12900,513,0
2019,476500,3.125,-0.0826,0,180,1458000,13140,503,0
2019,316500,3.125,-0.051,0,180,1488000,13200,508,0
2019,336500,3.125,-0.0627,0,180,1458000,13200,809,0
2019,596500,3.125,-0.0903,0,180,868000,13200,771,0
2019,456500,3.125,-0.0769,0,180,658000,13260,575,0
2019,356500,3.125,-0.0718,0,180,508000,13920,800,0
2019,696500,3.125,-0.0672,0,180,2048000,14040,710,0
2019,646500,3.125,-0.1456,0,180,908000,14040,844,0
2019,816500,3.125,-0.2473,0,360,1368000,14100,843,0
2019,506500,3.125,-0.1224,0,180,838000,14340,704,0
2019,406500,3.125,-0.0342,0,180,998000,14400,582,0
2019,606500,3.125,-0.0868,0,180,858000,14400,637,0
2019,486500,3.125,-0.128,0,180,1378000,14400,734,0
2019,426500,3.125,-0.1127,0,180,638000,14460,841,0
2019,476500,3.125,-0.013,0,180,808000,14580,634,0
2019,356500,3.125,-0.418,0,96,948000,14580,625,0
2019,486500,3.125,-0.0149,0,180,978000,14640,770,0
2019,326500,3.125,-0.5618,0,360,468000,14760,766,0
2019,606500,3.125,-0.0011,0,180,2908000,14820,584,0
2019,336500,3.125,-0.0716,0,180,838000,14940,743,0
2019,466500,3.125,-0.1495,0,180,958000,15000,660,0
2019,456500,3.125,-0.0984,0,180,1218000,15120,876,0
2019,386500,3.125,0.0293,0,180,628000,15480,756,0
2019,206500,3.125,-0.49,0,360,368000,15480,849,0
2019,336500,3.125,-0.1483,0,180,968000,16080,604,0
2019,296500,3.125,-0.0751,0,180,1638000,16800,831,0
2019,326500,3.125,0.0202,0,180,558000,17820,507,0
2019,456500,3.125,-0.118,0,180,958000,17940,681,0
2019,486500,3.125,-0.1012,0,180,1308000,18060,729,0
2019,556500,3.125,-0.1003,0,180,858000,18900,683,0
2019,356500,3.125,-0.0813,0,180,928000,19560,700,0
2019,446500,3.125,-0.2871,0,360,878000,20640,853,0
2019,396500,3.125,0.0292,0,180,1158000,20940,714,0
2019,726500,3.125,-0.3337,0,360,1828000,21000,536,0
2019,406500,3.125,0.0392,0,180,998000,21120,586,0
2019,486500,3.125,0.007,0,180,958000,21480,806,0
2019,636500,3.125,-0.1065,0,180,2338000,22140,587,0
2019,226500,3.125,-0.0475,0,180,878000,22920,585,0
2019,836500,3.125,-0.1257,0,180,2488000,25860,570,0
2019,606500,3.125,-0.0758,0,180,1528000,26040,722,0
2019,346500,3.125,0.0535,0,180,1768000,27240,833,0
2019,726500,3.125,-0.1501,0,180,1908000,30960,538,0
2019,466500,3.125,-0.4421,0,120,1858000,36420,741,0
2019,556500,3.125,-0.2584,0,360,1088000,49200,505,0
2019,476500,3.125,-0.1397,0,180,1798000,49260,556,0
2019,3006500,3.125,-0.3637,0,360,5758000,66000,798,0
2019,176500,3.15,-0.3064,0,360,558000,7080,640,0
2019,516500,3.15,-0.3557,0,360,658000,11880,786,0
2019,306500,3.175,-0.2829,0,360,428000,9300,683,0
2019,646500,3.175,-0.2722,0,360,858000,10920,831,0
2019,386500,3.175,-0.3232,0,360,558000,11400,808,0
2019,626500,3.175,-0.3166,0,360,1108000,13440,877,0
2019,506500,3.175,-0.3201,0,360,1208000,19740,517,0
2019,606500,3.175,-0.3926,0,360,1208000,20460,622,0
2019,556500,3.225,-0.2018,0,360,798000,16320,789,0
2019,366500,3.25,-0.348,0,360,688000,2400,651,0
2019,256500,3.25,0.4745,0,360,258000,2520,647,0
2019,326500,3.25,-0.4181,0,360,328000,2520,897,0
2019,276500,3.25,-0.568,0,360,468000,2580,510,0
2019,236500,3.25,0.5427,0,360,238000,2640,730,0
2019,156500,3.25,0.1434,0,360,198000,2820,851,0
2019,216500,3.25,0.5547,0,360,218000,3000,689,0
2019,326500,3.25,-0.368,0,360,488000,3000,637,0
2019,316500,3.25,0.3537,0,360,328000,3060,767,0
2019,316500,3.25,-0.278,0,360,318000,3060,621,0
2019,286500,3.25,0.0662,0,360,408000,3120,794,0
2019,306500,3.25,-0.5478,0,360,338000,3120,523,0
2019,306500,3.25,0.6162,0,360,318000,3180,731,0
2019,226500,3.25,0.5431,0,360,228000,3180,585,0
2019,286500,3.25,0.6173,0,360,298000,3240,786,0
2019,336500,3.25,-0.0681,0,360,528000,3240,825,0
2019,366500,3.25,-0.438,0,360,368000,3240,845,0
2019,176500,3.25,-0.2533,0,360,1358000,3300,749,0
2019,246500,3.25,0.5352,0,360,248000,3480,851,0
2019,246500,3.25,-0.5307,0,360,378000,3480,584,0
2019,266500,3.25,-0.2586,0,360,448000,3660,623,0
2019,246500,3.25,-0.348,0,360,378000,3660,897,0
2019,296500,3.25,0.6512,0,360,308000,3720,743,0
2019,246500,3.25,0.5162,0,360,258000,3720,613,0
2019,316500,3.25,0.062,0,180,358000,3720,739,0
2019,356500,3.25,-0.5004,0,360,558000,3720,846,0
2019,226500,3.25,0.0533,0,180,358000,3780,750,0
2019,256500,3.25,0.0305,0,180,708000,3780,595,0
2019,356500,3.25,0.4536,0,360,368000,3840,662,0
2019,256500,3.25,-0.503,0,360,398000,3840,629,0
2019,336500,3.25,-0.5358,0,360,418000,3900,697,0
2019,236500,3.25,0.4134,0,360,268000,3960,507,0
2019,256500,3.25,0.2681,0,360,298000,3960,688,0
2019,306500,3.25,-0.4294,0,360,318000,3960,669,0
2019,256500,3.25,0.5462,0,360,268000,4020,591,0
2019,396500,3.25,0.2649,0,360,418000,4020,515,0
2019,386500,3.25,-0.3488,0,360,698000,4020,766,0
2019,306500,3.25,0.2484,0,360,368000,4080,502,0
2019,356500,3.25,0.2198,0,360,448000,4080,755,0
2019,336500,3.25,0.4506,0,360,348000,4140,625,0
2019,266500,3.25,0.041,0,180,748000,4140,830,0
2019,206500,3.25,-0.2745,0,360,548000,4140,699,0
2019,276500,3.25,0.1845,0,180,378000,4200,617,0
2019,476500,3.25,0.1477,0,360,668000,4200,664,0
2019,256500,3.25,-0.1786,0,360,248000,4200,612,0
2019,446500,3.25,-0.5587,0,360,678000,4200,717,0
2019,226500,3.25,0.2989,0,360,328000,4260,682,0
2019,346500,3.25,-0.2581,0,360,958000,4320,746,0
2019,396500,3.25,0.1828,0,360,468000,4380,534,0
2019,376500,3.25,0.5303,0,360,378000,4440,654,0
2019,206500,3.25,0.0124,0,180,1258000,4440,847,0
2019,326500,3.25,0.6327,0,360,338000,4560,533,0
2019,426500,3.25,0.4698,0,360,438000,4560,617,0
2019,306500,3.25,-0.1847,0,360,318000,4560,558,0
2019,256500,3.25,0.0676,0,360,278000,4620,562,0
2019,226500,3.25,-0.043,0,180,588000,4620,723,0
2019,386500,3.25,-0.4304,0,360,428000,4620,639,0
2019,306500,3.25,-0.0158,0,360,318000,4740,637,0
